time_s,radius_cm,temperature_C,moisture
1.000000000000000000e+02,2.607421875000000278e-02,2.800005375972927268e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.617187500000000069e-02,2.800005376315657557e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.626953125000000208e-02,2.800005376659677481e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.636718750000000000e-02,2.800005377004988460e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.646484375000000139e-02,2.800005377351589786e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.656250000000000278e-02,2.800005377699480391e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.666015625000000069e-02,2.800005378048661342e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.675781250000000208e-02,2.800005378399133704e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.685546875000000347e-02,2.800005378750896767e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.695312500000000139e-02,2.800005379103949466e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.705078125000000278e-02,2.800005379458293575e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.714843750000000416e-02,2.800005379813929096e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.724609375000000208e-02,2.800005380170854963e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.734375000000000347e-02,2.800005380529071886e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.744140625000000139e-02,2.800005380888580220e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.753906250000000278e-02,2.800005381249379965e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.763671875000000416e-02,2.800005381611471122e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.773437500000000208e-02,2.800005381974854046e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.783203125000000347e-02,2.800005382339527671e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.792968750000000139e-02,2.800005382705493773e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.802734375000000278e-02,2.800005383072751997e+01,2.549999999999999822e+00
